text,
"The flood destroyed everything, we don’t know what to do.",Panic
I’m trying to stay calm and support my family.,Resilience
Is this really happening? I can’t believe it!,Disbelief
"There’s a typhoon coming, and people are so anxious.",Fear/Anxiety
Thank you to the volunteers helping out!,Neutral
"Nobody told us anything, we were unprepared.",Disbelief
We’ve been through worse—we’ll get through this.,Resilience
"I feel numb, just watching the news in silence.",Neutral
"I can’t stop shaking, I’m terrified.",Panic
Still no electricity but we're managing.,Resilience